Sex,Length,Whole weight,Rings
"I",0.3,0.1235,5
"I",0.37,0.2815,5
"I",0.375,0.226,7
"I",0.38,0.2285,7
"I",0.395,0.2995,8
"I",0.41,0.361,8
"I",0.415,0.3045,7
"I",0.425,0.3975,7
"I",0.44,0.379,7
"I",0.44,0.4995,6
"M",0.465,0.7775,10
"F",0.47,0.4705,8
"M",0.51,0.751,8
"F",0.525,0.714,10
"F",0.525,0.6995,9
"F",0.55,0.952,7
"M",0.56,0.8755,8
"M",0.575,0.9215,9
"F",0.575,0.8285,10
"M",0.585,1.206,10
"M",0.615,1.2865,11
"F",0.62,1.1945,9
"F",0.63,1.1655,10
"F",0.63,1.2155,10
"M",0.67,1.1735,11
"M",0.675,1.532,11
"F",0.685,1.5105,10
"F",0.485,0.5565,9
"M",0.46,0.547,8
"M",0.46,0.5165,9
"M",0.535,0.764,11
"M",0.465,0.488,10
"M",0.51,0.6905,10
"I",0.335,0.1835,11
"M",0.55,0.97,20
"I",0.18,0.033,5
"I",0.215,0.059,5
"I",0.2,0.046,4
"F",0.625,1.3235,9
"M",0.55,0.8465,13
"M",0.585,1.047,14
"F",0.645,1.2785,13
"F",0.71,1.8745,12
"F",0.7,1.978,24
"F",0.655,1.367,10
"F",0.665,1.742,21
"F",0.47,0.513,11
"M",0.425,0.4085,9
"M",0.54,0.56,7
"M",0.505,0.635,9
"M",0.535,0.875,10
"F",0.43,0.397,9
"M",0.55,0.806,9
"F",0.34,0.204,6
"I",0.275,0.1165,7
"F",0.335,0.17,6
"M",0.64,1.194,15
"F",0.55,0.765,9
"F",0.64,1.151,13
"F",0.545,0.6765,9
"F",0.64,1.571,18
"M",0.605,1.153,15
"M",0.605,1.114,15
"M",0.56,0.9125,10
"F",0.57,0.872,14
"M",0.525,0.792,13
"F",0.505,0.606,11
"M",0.35,0.2265,6
"M",0.45,0.3955,9
"I",0.51,0.61,11
"F",0.49,0.539,12
"F",0.505,0.657,15
"M",0.38,0.2505,8
"I",0.27,0.102,8
"F",0.37,0.2685,7
"M",0.5,0.551,11
"M",0.645,1.307,10
"M",0.565,0.9185,11
"F",0.67,1.707,13
"F",0.59,0.8805,11
"F",0.47,0.4965,6
"F",0.51,0.632,8
"M",0.72,2.2695,16
"M",0.55,0.9235,7
"I",0.2,0.0345,5
"M",0.65,1.3315,13
"F",0.525,0.72,14
"M",0.565,1.032,20
"F",0.61,1.017,12
"F",0.545,0.98,18
"I",0.325,0.1495,5
"I",0.31,0.1515,7
"M",0.45,0.478,11
"F",0.49,0.578,9
"F",0.505,0.6835,10
"F",0.385,0.2725,6
"F",0.62,1.511,17
"F",0.635,1.3035,17
"F",0.665,1.3955,15
"M",0.335,0.1975,9
"I",0.295,0.116,8
"I",0.48,0.523,15
"I",0.32,0.1565,9
"I",0.43,0.384,14
"M",0.565,1.0055,12
"F",0.6,1.1345,10
"F",0.585,1.0835,14
"F",0.555,0.868,13
"F",0.57,1.0915,14
"F",0.62,1.271,11
"M",0.63,1.4985,16
"M",0.425,0.388,10
"F",0.64,1.2355,14
"M",0.675,1.402,16
"M",0.5,0.6025,11
"M",0.385,0.2775,9
"M",0.52,0.973,18
"M",0.52,0.753,8
"M",0.64,1.3765,16
"I",0.44,0.375,9
"F",0.42,0.4135,10
"F",0.45,0.56,13
"I",0.42,0.3915,9
"F",0.64,1.2765,12
"M",0.57,0.96,11
"M",0.41,0.3745,12
"M",0.485,0.696,13
"F",0.61,1.2955,12
"F",0.59,1.2315,13
"M",0.665,1.383,14
"I",0.345,0.2225,8
"M",0.635,1.156,18
"M",0.695,1.477,14
"F",0.69,1.5715,15
"M",0.555,0.858,15
"M",0.65,1.4995,14
"M",0.635,1.467,15
"F",0.655,1.092,14
"F",0.69,1.8165,19
"F",0.695,1.6365,13
"M",0.55,0.906,13
"F",0.61,1.213,15
"M",0.595,1.06,11
"M",0.3,0.161,6
"F",0.435,0.459,9
"I",0.455,0.533,8
"M",0.48,0.6175,12
"I",0.43,0.366,6
"F",0.435,0.4195,7
"I",0.3,0.15,5
"F",0.575,0.8745,12
"M",0.505,0.655,9
"M",0.455,0.484,7
"M",0.64,1.4435,18
"F",0.56,0.8775,13
"F",0.645,1.3105,12
"F",0.595,1.2515,14
"M",0.565,0.9085,17
"F",0.655,1.1705,12
"M",0.48,0.528,14
"F",0.495,0.6625,11
"F",0.4,0.4335,10
"M",0.41,0.3595,11
"F",0.595,1.107,12
"F",0.625,0.8595,13
"M",0.52,0.7735,17
"M",0.465,0.4365,11
"F",0.475,0.501,13
"F",0.5,0.6735,18
"M",0.46,0.415,12
"M",0.485,0.4775,12
"F",0.465,0.5555,15
"M",0.525,0.6445,12
"F",0.655,1.428,18
"M",0.69,1.6195,24
"M",0.55,0.81,11
"F",0.58,1.0385,13
"F",0.59,0.9715,11
"M",0.565,0.868,11
"F",0.665,1.522,13
"F",0.62,1.1255,14
"M",0.55,0.7085,12
"F",0.605,1.0185,15
"M",0.535,0.72,15
"F",0.51,0.6175,12
"M",0.53,0.738,9
"F",0.495,0.597,11
"M",0.575,1.156,13
"F",0.63,1.22,14
"M",0.59,0.7485,14
"F",0.605,1.0735,14
"M",0.645,1.229,17
"F",0.62,1.146,13
"M",0.605,1.145,16
"F",0.615,1.1055,16
"F",0.66,1.67,11
"F",0.71,1.555,15
"F",0.565,0.9285,12
"F",0.57,0.8085,16
"I",0.6,1.057,16
"I",0.41,0.2595,10
"F",0.45,0.438,9
"M",0.275,0.099,5
"I",0.485,0.5085,9
"F",0.62,1.166,13
"F",0.48,0.507,12
"F",0.505,0.6345,17
"M",0.4,0.314,11
"I",0.45,0.4385,11
"M",0.35,0.195,9
"M",0.44,0.451,16
"M",0.265,0.084,7
"M",0.165,0.0245,4
"F",0.705,1.4685,19
"F",0.535,0.7765,16
"I",0.49,0.5425,11
"F",0.48,0.5885,15
"F",0.395,0.3375,12
"I",0.375,0.2565,12
"M",0.345,0.163,10
"I",0.55,0.8095,12
"I",0.635,1.3655,16
"I",0.575,0.967,13
"F",0.545,0.6855,10
"F",0.385,0.314,10
"F",0.51,0.7005,11
"I",0.44,0.4895,13
"I",0.45,0.45,12
"I",0.39,0.259,8
"F",0.425,0.382,12
"F",0.45,0.4435,11
"I",0.66,1.6935,15
"F",0.685,1.71,16
"F",0.585,0.8575,12
"I",0.54,0.97,17
"F",0.49,0.59,12
"M",0.43,0.34,14
"F",0.455,0.385,13
"I",0.495,0.515,13
"F",0.48,0.59,12
"I",0.47,0.51,14
"M",0.415,0.3005,11
"I",0.49,0.683,13
"I",0.47,0.468,10
"I",0.445,0.4075,11
"F",0.51,0.584,13
"F",0.52,0.829,15
"I",0.475,0.4545,8
"F",0.455,0.4385,10
"I",0.435,0.407,10
"I",0.39,0.3085,6
"I",0.375,0.239,8
"M",0.285,0.106,5
"I",0.58,1.178,20
"F",0.58,1.073,19
"M",0.41,0.306,9
"M",0.41,0.301,9
"I",0.54,0.7585,10
"M",0.33,0.171,11
"I",0.44,0.3625,11
"M",0.28,0.0905,5
"I",0.59,1.0885,17
"I",0.61,1.097,13
"I",0.61,1.278,17
"M",0.455,0.44,12
"M",0.33,0.163,10
"I",0.44,0.522,16
"M",0.54,0.9715,19
"F",0.475,0.588,10
"F",0.46,0.5325,10
"I",0.31,0.127,6
"I",0.255,0.0815,5
"M",0.335,0.1635,8
"I",0.295,0.1,8
"I",0.19,0.0265,5
"M",0.545,0.9955,19
"M",0.495,0.6605,15
"M",0.5,0.721,14
"F",0.305,0.1485,7
"F",0.475,0.487,13
"M",0.515,0.955,13
"M",0.545,0.873,18
"M",0.74,1.65,13
"M",0.565,1.1285,16
"M",0.56,1.1115,10
"M",0.545,0.9745,13
"M",0.645,1.4605,19
"M",0.575,1.0105,10
"M",0.62,1.0765,13
"F",0.605,1.2225,13
"M",0.605,1.616,18
"F",0.475,0.559,12
"M",0.365,0.2205,9
"F",0.46,0.44,8
"M",0.53,0.879,10
"M",0.48,0.6815,18
"M",0.455,0.5795,13
"I",0.35,0.209,9
"M",0.37,0.224,8
"I",0.34,0.1765,7
"I",0.35,0.196,8
"I",0.35,0.192,6
"I",0.39,0.3095,7
"I",0.395,0.313,7
"I",0.415,0.3595,6
"I",0.43,0.3855,7
"I",0.48,0.5785,8
"M",0.49,0.674,9
"F",0.49,0.5265,7
"F",0.56,1.0315,9
"M",0.56,0.9,7
"M",0.58,1.0165,9
"F",0.58,1.2495,8
"M",0.59,1.1685,8
"F",0.595,1.148,10
"M",0.6,1.089,11
"M",0.61,1.0325,9
"F",0.63,1.172,11
"M",0.64,1.3715,10
"F",0.65,1.5055,10
"M",0.71,1.9045,13
"M",0.74,2.4925,13
"I",0.25,0.0805,4
"I",0.28,0.111,6
"I",0.325,0.152,6
"I",0.35,0.199,5
"I",0.36,0.219,6
"I",0.365,0.2155,6
"I",0.37,0.2565,6
"I",0.375,0.257,7
"I",0.38,0.2505,6
"I",0.395,0.279,8
"I",0.43,0.378,6
"I",0.44,0.456,8
"I",0.465,0.5055,7
"F",0.465,0.4705,7
"M",0.48,0.643,8
"I",0.485,0.513,7
"F",0.49,0.569,9
"I",0.495,0.578,8
"I",0.5,0.596,8
"F",0.505,0.5725,8
"M",0.52,0.6435,7
"M",0.52,0.8115,7
"F",0.525,0.7115,7
"M",0.55,0.9155,8
"F",0.555,0.8815,8
"F",0.555,0.931,8
"F",0.575,1.065,8
"M",0.6,1.1385,9
"F",0.61,1.234,12
"F",0.61,1.2635,10
"F",0.61,1.0745,8
"M",0.615,1.403,8
"M",0.62,1.1325,9
"F",0.625,1.1115,11
"F",0.625,1.255,10
"M",0.625,1.437,11
"M",0.635,1.3635,10
"F",0.64,1.1435,9
"M",0.64,1.4545,9
"M",0.66,1.478,10
"F",0.665,1.6885,11
"F",0.715,2.0725,10
"M",0.72,1.787,11
"F",0.725,1.523,9
"I",0.165,0.021,3
"I",0.21,0.0455,4
"I",0.355,0.2435,6
"I",0.4,0.2675,6
"I",0.4,0.258,7
"I",0.4,0.2985,6
"I",0.435,0.411,7
"I",0.44,0.38,7
"I",0.45,0.4385,8
"I",0.465,0.4015,6
"I",0.47,0.4485,7
"I",0.47,0.4155,7
"I",0.475,0.7095,8
"I",0.485,0.637,7
"F",0.505,1.1155,8
"I",0.51,0.599,8
"I",0.52,0.5345,8
"F",0.53,0.627,8
"M",0.535,0.7465,10
"M",0.55,0.985,8
"M",0.555,0.85,8
"M",0.555,0.838,8
"F",0.555,0.812,9
"M",0.56,0.7615,8
"M",0.575,0.87,8
"F",0.585,0.9835,9
"M",0.59,0.929,10
"F",0.595,1.0155,9
"M",0.6,0.939,8
"M",0.6,1.164,12
"M",0.61,1.214,10
"F",0.615,1.1345,11
"F",0.62,1.233,10
"M",0.625,1.0815,10
"M",0.625,1.179,9
"F",0.64,1.1635,11
"F",0.64,1.1545,9
"F",0.645,1.3345,10
"M",0.65,1.469,9
"M",0.655,1.492,11
"F",0.655,1.5585,11
"F",0.66,1.3275,9
"M",0.67,1.6615,10
"F",0.69,1.492,12
"F",0.7,1.7365,11
"F",0.7,1.6605,11
"M",0.71,1.348,11
"M",0.715,1.7405,10
"F",0.72,1.7185,11
"I",0.215,0.041,3
"I",0.24,0.0655,4
"I",0.26,0.097,4
"I",0.32,0.131,6
"I",0.33,0.1695,6
"I",0.335,0.192,6
"I",0.35,0.1765,7
"I",0.35,0.1735,6
"I",0.36,0.1785,6
"I",0.36,0.2055,7
"I",0.365,0.2345,7
"I",0.38,0.2305,7
"I",0.4,0.314,6
"I",0.4,0.33,6
"I",0.4,0.2775,9
"I",0.425,0.405,8
"I",0.43,0.309,6
"M",0.435,0.4385,7
"I",0.435,0.396,8
"I",0.445,0.3615,8
"I",0.45,0.514,8
"I",0.455,0.4265,8
"I",0.46,0.384,8
"I",0.475,0.4865,9
"I",0.475,0.4355,8
"I",0.475,0.498,7
"I",0.48,0.494,9
"F",0.495,0.594,7
"I",0.5,0.528,9
"M",0.505,0.5585,8
"I",0.515,0.636,9
"I",0.525,0.567,8
"I",0.53,0.6615,9
"I",0.53,0.658,8
"M",0.535,0.78,8
"I",0.535,0.6075,9
"I",0.54,0.7025,8
"I",0.55,0.8725,10
"F",0.565,1.2365,10
"M",0.57,1.186,10
"I",0.57,0.7745,9
"F",0.57,0.8875,8
"I",0.575,0.8725,8
"I",0.575,0.8515,9
"F",0.575,0.895,9
"M",0.575,0.886,9
"I",0.58,0.9265,10
"I",0.58,0.8295,10
"I",0.58,0.907,11
"M",0.58,1.041,9
"F",0.585,0.9355,9
"F",0.585,1.058,9
"F",0.595,0.7955,10
"F",0.6,1.0805,9
"M",0.6,0.928,8
"F",0.6,1.059,11
"M",0.6,1.157,11
"F",0.6,1.088,10
"F",0.6,0.776,9
"F",0.62,1.043,10
"M",0.625,1.1415,9
"F",0.625,1.3335,10
"F",0.625,1.273,9
"M",0.625,1.1835,11
"M",0.625,1.2135,9
"I",0.63,1.0315,11
"M",0.635,1.3695,10
"M",0.65,1.3745,12
"M",0.65,1.463,11
"F",0.65,1.6275,11
"F",0.65,1.3875,9
"M",0.655,1.46,11
"F",0.655,1.2835,8
"F",0.66,1.3765,12
"M",0.66,1.6465,11
"M",0.675,1.265,10
"M",0.685,1.56,11
"M",0.715,1.6,12
"M",0.735,2.333,12
"I",0.175,0.028,4
"I",0.37,0.226,8
"I",0.395,0.2855,5
"I",0.42,0.325,7
"I",0.455,0.514,8
"I",0.495,0.5755,8
"F",0.51,0.5805,7
"M",0.515,0.678,8
"M",0.545,0.8035,7
"F",0.555,0.913,9
"M",0.58,0.8675,9
"F",0.59,1.0425,10
"M",0.6,1.14,10
"F",0.61,1.3475,11
"M",0.615,1.0735,11
"M",0.615,1.4335,9
"M",0.615,1.304,14
"M",0.62,0.9505,9
"M",0.63,1.385,11
"F",0.64,1.12,12
"F",0.64,1.2645,9
"F",0.655,1.275,8
"M",0.655,1.27,10
"M",0.66,1.583,10
"F",0.665,1.4355,9
"F",0.67,1.42,10
"M",0.69,1.5955,10
"M",0.715,1.89,10
"F",0.735,2.037,13
"I",0.27,0.084,6
"I",0.285,0.1005,7
"I",0.295,0.1285,5
"I",0.3,0.1345,5
"I",0.3,0.1195,5
"I",0.36,0.1895,6
"I",0.37,0.257,6
"I",0.39,0.2745,8
"I",0.435,0.342,6
"I",0.44,0.344,8
"I",0.44,0.3275,8
"I",0.445,0.4035,7
"I",0.465,0.4075,9
"I",0.465,0.4975,8
"I",0.47,0.3685,8
"I",0.475,0.4175,7
"I",0.475,0.4425,9
"I",0.475,0.4225,9
"I",0.485,0.426,8
"I",0.49,0.511,9
"I",0.515,0.573,9
"I",0.52,0.6385,8
"I",0.525,0.657,10
"F",0.525,0.8735,10
"I",0.53,0.781,9
"I",0.53,0.6765,9
"M",0.53,0.769,9
"I",0.53,0.6235,11
"M",0.535,0.7315,7
"I",0.535,0.8075,10
"M",0.545,0.737,9
"F",0.545,0.654,10
"I",0.55,0.7915,10
"I",0.55,0.753,8
"I",0.55,0.717,9
"I",0.555,0.783,9
"I",0.575,0.872,9
"I",0.575,0.983,8
"F",0.585,1.034,11
"F",0.585,0.9855,10
"I",0.585,0.7635,9
"M",0.59,0.9895,8
"I",0.595,0.9365,10
"F",0.595,0.964,10
"F",0.595,1.0455,10
"F",0.595,1.081,12
"M",0.6,1.012,10
"F",0.6,1.122,10
"M",0.605,1.1245,11
"F",0.605,1.1345,10
"M",0.61,1.0805,10
"F",0.61,1.0835,9
"M",0.615,1.242,11
"M",0.62,1.3915,11
"M",0.62,1.085,10
"I",0.62,0.966,11
"M",0.62,1.0855,10
"F",0.625,1.3025,14
"I",0.625,1.15,11
"I",0.63,1.217,11
"F",0.63,1.306,9
"M",0.64,1.273,13
"M",0.645,1.4865,12
"M",0.65,1.3655,11
"M",0.65,1.276,11
"M",0.65,1.2075,10
"F",0.65,1.281,10
"M",0.65,1.4275,13
"M",0.65,1.155,12
"F",0.65,1.35,10
"M",0.65,1.3685,11
"F",0.66,1.431,10
"M",0.66,1.261,10
"F",0.665,1.764,11
"F",0.67,1.278,11
"M",0.67,1.217,11
"F",0.67,1.46,9
"F",0.675,1.5575,11
"M",0.675,1.527,11
"F",0.675,1.4985,9
"M",0.685,1.885,10
"M",0.685,1.432,11
"M",0.705,1.4385,11
"F",0.705,1.564,10
"M",0.71,2.14,11
"F",0.725,1.792,11
"M",0.78,2.548,11
"I",0.235,0.1585,5
"I",0.35,0.4015,7
"I",0.36,0.465,7
"I",0.38,0.2885,7
"F",0.38,0.6475,7
"M",0.43,0.6485,9
"I",0.465,0.452,9
"I",0.47,0.4915,9
"F",0.485,0.9145,7
"M",0.495,0.976,9
"I",0.5,0.7865,8
"M",0.505,0.775,7
"I",0.51,0.8415,10
"M",0.51,0.681,9
"M",0.515,0.6145,9
"F",0.55,1.1655,9
"F",0.575,1.764,10
"M",0.605,1.1215,10
"M",0.615,1.167,10
"M",0.615,1.0375,9
"M",0.625,1.223,10
"M",0.625,1.124,9
"F",0.635,1.2635,9
"F",0.65,1.238,9
"F",0.65,1.4045,11
"F",0.67,1.37,12
"F",0.695,1.8185,13
"F",0.705,1.7525,12
"I",0.275,0.101,5
"I",0.285,0.106,5
"I",0.36,0.1865,7
"I",0.385,0.2575,6
"I",0.4,0.3225,6
"I",0.43,0.32,7
"I",0.435,0.4155,8
"I",0.45,0.3935,7
"I",0.475,0.4775,8
"I",0.475,0.452,8
"I",0.485,0.5065,8
"I",0.51,0.5525,8
"I",0.515,0.565,9
"I",0.52,0.699,10
"I",0.525,0.6055,9
"M",0.53,0.7905,9
"M",0.53,0.702,9
"M",0.53,0.675,10
"I",0.53,0.475,8
"I",0.53,0.612,11
"I",0.535,0.705,10
"I",0.535,0.728,9
"F",0.555,0.846,10
"M",0.555,0.86,10
"M",0.56,0.8875,9
"F",0.56,0.898,9
"I",0.565,0.6545,9
"I",0.575,0.795,10
"M",0.575,1.0535,9
"F",0.575,0.927,9
"I",0.58,0.701,9
"M",0.58,0.8275,8
"F",0.585,0.9845,13
"M",0.585,0.9565,9
"I",0.59,0.86,9
"M",0.595,1.1785,10
"M",0.615,1.2205,10
"M",0.615,0.9685,10
"F",0.62,1.107,11
"I",0.62,1.1305,12
"M",0.62,1.2555,11
"M",0.625,1.177,9
"M",0.625,1.2425,10
"M",0.63,1.09,12
"F",0.63,1.072,8
"F",0.645,1.129,10
"F",0.65,1.2075,10
"F",0.65,1.227,11
"F",0.655,1.472,13
"F",0.665,1.5785,14
"M",0.67,1.4755,10
"M",0.675,1.5545,12
"F",0.675,1.593,11
"M",0.695,1.8995,13
"F",0.695,1.361,10
"F",0.705,1.4575,11
"M",0.74,2.381,12
"I",0.205,0.0495,3
"I",0.305,0.1455,6
"I",0.32,0.129,7
"I",0.355,0.2255,7
"M",0.425,0.359,9
"I",0.425,0.3505,8
"F",0.45,0.5885,8
"M",0.515,0.623,10
"F",0.52,0.5375,8
"I",0.525,0.5655,8
"M",0.555,0.8625,9
"F",0.61,1.137,12
"I",0.35,0.221,8
"I",0.38,0.2425,6
"I",0.46,0.386,8
"M",0.465,0.5315,8
"M",0.475,0.562,8
"M",0.565,0.836,9
"M",0.57,0.9275,8
"M",0.57,0.8815,10
"M",0.595,1.03,10
"F",0.605,1.1685,9
"F",0.615,1.059,9
"M",0.62,1.127,7
"M",0.625,1.1665,11
"F",0.68,1.541,10
"M",0.68,1.7825,11
"M",0.68,1.543,11
"F",0.71,1.47,12
"M",0.5,0.6335,14
"F",0.545,0.754,10
"F",0.46,0.4485,14
"M",0.535,0.8105,11
"M",0.335,0.22,6
"F",0.425,0.4425,7
"M",0.41,0.3555,9
"I",0.17,0.034,4
"I",0.335,0.185,8
"M",0.52,0.79,8
"F",0.53,0.8255,9
"M",0.5,0.62,11
"F",0.615,0.9525,9
"M",0.575,0.955,16
"M",0.57,0.91,14
"M",0.455,0.416,11
"I",0.37,0.2045,6
"M",0.445,0.515,9
"F",0.675,1.604,14
"M",0.385,0.3435,6
"F",0.375,0.3005,7
"M",0.56,0.8255,10
"M",0.55,0.785,12
"F",0.57,0.9685,9
"F",0.485,0.731,11
"M",0.41,0.4405,8
"I",0.335,0.1785,9
"M",0.655,1.373,16
"F",0.565,0.9765,12
"F",0.57,1.018,9
"F",0.55,1.082,14
"F",0.63,1.423,14
"M",0.475,0.655,10
"F",0.655,1.4155,18
"I",0.32,0.1385,5
"M",0.525,0.782,19
"F",0.525,0.717,10
"F",0.5,0.6355,15
"F",0.44,0.3975,8
"F",0.49,0.656,9
"M",0.545,0.744,15
"F",0.45,0.447,12
"F",0.515,0.578,9
"I",0.33,0.1405,5
"F",0.525,0.708,12
"M",0.295,0.1385,9
"M",0.545,0.8615,16
"F",0.645,1.626,15
"M",0.45,0.478,10
"F",0.61,1.1775,15
"I",0.38,0.286,7
"F",0.565,1.058,10
"F",0.67,1.5415,15
"M",0.54,0.817,10
"I",0.29,0.152,9
"I",0.41,0.335,7
"F",0.46,0.4915,7
"F",0.56,0.9705,9
"F",0.575,0.9315,12
"M",0.62,1.221,12
"M",0.515,0.7365,16
"F",0.56,0.97,12
"F",0.5,0.8085,13
"I",0.435,0.4075,9
"M",0.495,0.6295,12
"F",0.595,1.053,13
"M",0.76,1.829,14
"F",0.615,1.1765,17
"F",0.565,0.8765,10
"I",0.14,0.0145,4
"M",0.445,0.476,15
"F",0.525,0.813,12
"I",0.16,0.018,4
"M",0.635,1.064,16
"M",0.575,0.853,16
"M",0.38,0.219,6
"M",0.245,0.0635,4
"I",0.48,0.6275,13
"I",0.455,0.441,9
"F",0.455,0.458,10
"M",0.455,0.4745,13
"I",0.355,0.216,10
"I",0.52,0.6765,15
"I",0.54,0.757,11
"I",0.52,0.7325,19
"I",0.56,1.0285,11
"F",0.52,0.712,10
"I",0.615,1.066,13
"F",0.645,1.3065,18
"I",0.565,0.8545,11
"M",0.295,0.125,8
"M",0.375,0.2225,10
"I",0.525,0.6955,10
"M",0.395,0.266,12
"F",0.5,0.7105,20
"F",0.47,0.487,8
"I",0.58,0.728,14
"I",0.5,0.6675,12
"I",0.725,2.0495,10
"F",0.65,1.498,16
"F",0.67,1.597,21
"I",0.55,0.8605,17
"F",0.49,0.541,11
"I",0.235,0.058,6
"I",0.235,0.0645,5
"M",0.52,0.77,11
"F",0.475,0.541,13
"M",0.53,0.739,13
"F",0.35,0.205,10
"M",0.555,0.8695,14
"M",0.505,0.6555,11
"F",0.54,1.0905,15
"F",0.525,0.6295,11
"M",0.55,1.0985,14
"M",0.55,0.991,20
"I",0.235,0.0615,6
"M",0.525,0.8005,13
"M",0.475,0.6175,16
"F",0.53,0.772,12
"F",0.525,0.7155,13
"F",0.53,0.717,13
"F",0.465,0.6355,13
"I",0.315,0.18,5
"I",0.465,0.5805,8
"M",0.485,0.556,7
"I",0.49,0.591,9
"F",0.515,0.686,12
"F",0.555,1.016,10
"F",0.61,1.438,9
"F",0.68,1.807,11
"M",0.69,1.777,11
"M",0.695,2.173,10
"F",0.72,2.1505,10
"I",0.27,0.118,4
"I",0.27,0.099,5
"I",0.295,0.1365,6
"I",0.295,0.1295,6
"I",0.315,0.164,6
"I",0.375,0.2875,6
"I",0.38,0.277,6
"I",0.385,0.248,6
"I",0.4,0.252,6
"M",0.415,0.4015,8
"I",0.415,0.3905,7
"I",0.42,0.409,8
"I",0.44,0.4095,6
"I",0.45,0.494,7
"I",0.475,0.4905,7
"M",0.485,0.599,8
"M",0.495,0.6245,6
"F",0.525,0.7745,7
"M",0.565,0.9795,8
"I",0.58,0.8915,6
"F",0.585,0.874,6
"M",0.6,1.262,10
"M",0.63,1.21,11
"F",0.645,1.37,10
"F",0.655,1.759,11
"M",0.665,1.3855,8
"F",0.67,1.8065,11
"M",0.67,1.5945,10
"M",0.685,1.4545,9
"M",0.7,2.003,10
"M",0.72,2.2385,12
"I",0.185,0.032,4
"I",0.245,0.0785,5
"I",0.315,0.134,6
"I",0.36,0.2075,6
"I",0.375,0.2235,6
"I",0.415,0.34,6
"I",0.455,0.5365,7
"I",0.48,0.635,6
"I",0.485,0.562,8
"I",0.51,0.597,8
"M",0.52,0.5815,10
"F",0.555,0.7545,9
"M",0.585,0.98,9
"F",0.585,1.0035,11
"M",0.585,1.133,12
"M",0.61,1.146,8
"M",0.61,1.142,9
"M",0.615,1.12,9
"F",0.62,1.011,8
"M",0.625,1.131,8
"M",0.625,1.065,10
"M",0.635,1.181,10
"F",0.64,1.382,9
"M",0.66,1.4385,11
"M",0.66,1.2275,8
"M",0.66,1.4415,10
"F",0.68,1.473,11
"F",0.69,1.658,10
"M",0.72,1.7475,11
"I",0.275,0.096,6
"I",0.33,0.1445,6
"I",0.33,0.1965,7
"I",0.365,0.196,7
"I",0.365,0.2155,6
"I",0.42,0.2805,8
"I",0.435,0.334,7
"I",0.435,0.366,7
"I",0.44,0.4965,8
"I",0.485,0.651,8
"I",0.495,0.5125,10
"M",0.51,0.6925,7
"I",0.52,0.5995,11
"I",0.54,0.74,8
"I",0.54,0.702,10
"I",0.55,0.672,11
"I",0.56,0.811,11
"F",0.575,0.9585,12
"I",0.575,0.858,10
"F",0.575,0.9575,10
"F",0.58,0.926,8
"F",0.58,0.873,10
"M",0.59,0.998,9
"M",0.6,0.6655,11
"M",0.62,1.003,11
"F",0.625,1.234,13
"M",0.625,1.025,9
"M",0.625,1.2935,9
"M",0.625,1.0565,10
"M",0.625,1.7855,13
"F",0.625,1.2255,10
"F",0.635,1.2565,10
"F",0.645,1.159,9
"M",0.645,1.403,11
"F",0.69,1.826,11
"F",0.695,1.7715,10
"M",0.515,0.6125,8
"I",0.545,0.658,8
"M",0.62,0.911,10
"M",0.63,1.1955,9
"F",0.63,1.336,11
"F",0.64,1.36,9
"I",0.37,0.2325,6
"I",0.395,0.317,7
"I",0.4,0.318,6
"I",0.41,0.2645,7
"I",0.455,0.4055,8
"I",0.48,0.524,7
"I",0.485,0.464,8
"I",0.5,0.439,8
"I",0.515,0.5805,9
"I",0.52,0.622,8
"M",0.545,0.7805,8
"I",0.545,0.772,8
"I",0.55,0.741,9
"M",0.55,0.8265,10
"M",0.55,0.7275,8
"I",0.555,0.7005,8
"M",0.56,0.9355,11
"I",0.565,1.1815,9
"M",0.57,1.0145,10
"F",0.575,1.1,10
"M",0.585,1.218,11
"M",0.59,0.874,8
"I",0.595,0.984,10
"M",0.6,1.0105,9
"M",0.61,1.0765,9
"M",0.615,1.337,11
"M",0.625,1.3705,12
"F",0.625,1.7015,11
"M",0.63,1.2435,11
"M",0.63,1.4135,13
"F",0.635,1.073,11
"F",0.635,1.477,12
"M",0.635,1.2915,9
"F",0.65,1.3105,9
"M",0.67,1.4915,9
"F",0.675,1.494,9
"F",0.675,1.1965,11
"M",0.68,1.672,11
"M",0.7,1.9125,10
"F",0.71,1.907,11
"F",0.715,1.79,9
"F",0.72,1.7495,11
"I",0.42,0.3415,7
"I",0.48,0.519,7
"M",0.48,0.5305,8
"M",0.51,1.2825,9
"I",0.515,0.7165,8
"F",0.56,1.6645,9
"I",0.56,0.837,8
"F",0.57,0.9645,9
"F",0.605,1.1,10
"M",0.625,1.2415,9
"F",0.64,1.3185,9
"M",0.65,1.3455,9
"I",0.3,0.1185,4
"M",0.35,0.197,7
"I",0.455,0.4725,9
"I",0.46,0.4495,8
"I",0.49,0.557,8
"I",0.5,0.516,8
"I",0.54,0.709,9
"M",0.55,0.7385,11
"I",0.55,0.7935,10
"M",0.555,0.9205,8
"I",0.57,0.7655,10
"M",0.58,0.824,10
"I",0.58,0.83,11
"I",0.585,0.985,10
"M",0.585,0.997,11
"F",0.595,0.914,9
"F",0.6,1.13,11
"F",0.615,1.0805,9
"M",0.63,1.105,11
"M",0.63,1.229,11
"F",0.635,1.2355,10
"F",0.645,1.2395,10
"F",0.65,1.357,11
